RSA,NOTAM,REMARK,MNM FL,MAX FL,WEF,UNT,FUA/EU RS,FIR,UIR
EBTRANA,,CIVILIAN BUFFER,095,195,16:30,17:00,"EBTRANARA, EBTRANARB, EBTRANARC","EBBU, EHAA",
EBTRANA,,,095,195,11:30,16:30,"EBTRANARB, EBTRANARC, EBTRANARA","EBBU, EHAA",
EBTRANA,,,045,095,11:30,16:30,"EBTRANARB, EBTRANARC, EBTRANARA","EBBU, EHAA",
EBTRANB,,CIVILIAN BUFFER,195,245,16:30,17:00,EBTRANBR,EHAA,EBUR
EBTRANB,,CIVILIAN BUFFER,245,999,16:30,17:00,EBTRANBR,EHAA,EBUR
EBTRANB,,,195,245,11:30,16:30,EBTRANBR,EHAA,EBUR
EBTRANB,,,245,999,12:40,16:30,EBTRANBR,EHAA,EBUR
EBTRANB,,CIVILIAN BUFFER,245,999,12:25,12:40,EBTRANBR,EHAA,EBUR
EBTRASA,,,045,095,11:30,16:30,EBTRASAR,"EBBU, LFFF",
EBTRASA,,CIVILIAN BUFFER,095,195,16:30,17:00,EBTRASAR,"EBBU, LFFF",
EBTRASA,,,095,195,11:30,16:30,EBTRASAR,"EBBU, LFFF",
EBTRASB,,,195,245,11:30,16:30,,,"EBUR, LFFF"
EBTRASB,,,245,365,11:30,16:30,,,"EBUR, LFFF"
EBTRASB,,,365,999,11:30,16:30,,,"EBUR, LFFF"
EBTRASBZ,,,195,245,11:30,17:00,EBTRASBZR,,"EBUR, LFFF"
EBTRASBZ,,,245,365,11:30,17:00,EBTRASBZR,,"EBUR, LFFF"
EBTRASBZ,,,365,999,11:30,17:00,EBTRASBZR,,"EBUR, LFFF"
EBTRAW,,,045,095,11:30,16:30,"EBTRAWR, EUEBTRAWBR","EBBU, LFFF",
EBTRAW,,CIVILIAN BUFFER,095,245,16:30,17:00,"EBTRAWR, EUEBTRAWBR","EBBU, LFFF",
EBTRAW,,CIVILIAN BUFFER,245,999,16:30,17:00,"EBTRAWR, EUEBTRAWBR",,"EBUR, LFFF"
EBTRAW,,,095,245,12:40,16:30,"EBTRAWR, EUEBTRAWBR","EBBU, LFFF",
EBTRAW,,CIVILIAN BUFFER,095,245,12:25,12:40,"EBTRAWR, EUEBTRAWBR","EBBU, LFFF",
EBTRAW,,,245,999,12:40,16:30,"EBTRAWR, EUEBTRAWBR",,"EBUR, LFFF"
EBTRAW,,CIVILIAN BUFFER,245,999,12:25,12:40,"EBTRAWR, EUEBTRAWBR",,"EBUR, LFFF"
